Material 1,Material 2,Step in ratio,Angle,Polarization value,Polarization range,Color value,Color range
,,0.1,10,0.5,0.1,0.45,0.1
,,,,,,,
,,fraction of material 1,fraction of material 2,size of material 1,size of material 2,polarization value,color value
Halley_non_pronus,Halley_porous,0.1,0.9,2.939965,0.148184,0.464212,0.351591
Halley_non_pronus,Halley_porous,0.2,0.8,2.939965,0.194428,0.417538,0.421516
Halley_non_pronus,Halley_porous,0.2,0.8,2.939965,0.255104,0.435843,0.412588
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,0.194428,2.939965,0.434112,0.48762
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,0.255104,2.939965,0.452211,0.488765
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,0.334716,2.939965,0.41956,0.486496
Halley_non_pronus,Halley+ice_0.70_volume,0.1,0.9,0.576226,2.939965,0.543865,0.512724
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,1.30157,2.939965,0.417563,0.495041
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,1.707756,2.939965,0.425683,0.497364
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,2.240701,2.939965,0.414233,0.497835
Halley_non_pronus,Halley+ice_0.70_volume,0.2,0.8,2.939965,0.255104,0.404255,0.438838
Halley_non_pronus,Halley+ice_0.70_volume,0.1,0.9,2.939965,1.707756,0.42375,0.381369
Halley_non_pronus,Halley+ice_0.70_volume,0.1,0.9,2.939965,2.939965,0.500016,0.520292
Halley_non_pronus,Halley+ice_0.80_volume,0.1,0.9,2.939965,0.148184,0.43879,0.377476
Halley_non_pronus,Halley+ice_0.80_volume,0.2,0.8,2.939965,0.255104,0.414978,0.402473
Halley_non_pronus,Halley+ice_0.90_volume,0.1,0.9,2.939965,0.148184,0.450307,0.390427
Halley_non_pronus,Halley+ice_0.90_volume,0.2,0.8,2.939965,0.255104,0.429909,0.397911
Halley_non_pronus,Ice,0.1,0.9,2.939965,0.148184,0.45246,0.362376
Halley_non_pronus,Ice,0.2,0.8,2.939965,0.255104,0.43303,0.405025
Halley_non_pronus,Ice_tholin,0.1,0.9,0.112939,0.148184,0.468465,0.384219
Halley_non_pronus,Ice_tholin,0.2,0.8,2.939965,0.255104,0.413627,0.420845
Halley_non_pronus,Ice_tholin,0.2,0.8,2.939965,0.334716,0.412768,0.40053
Halley_non_pronus,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.550165,0.361678
Halley_non_pronus,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.434366,0.387659
Halley_non_pronus,ice+void_porosity_0.40,0.2,0.8,2.939965,0.255104,0.45702,0.422602
Halley_non_pronus,ice+void_porosity_0.40,0.2,0.8,2.939965,0.334716,0.437434,0.413493
Halley_non_pronus,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.553103,0.358495
Halley_non_pronus,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.436647,0.384763
Halley_non_pronus,ice+void_porosity_0.50,0.2,0.8,0.576226,0.194428,0.406748,0.351188
Halley_non_pronus,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.447361,0.428452
Halley_non_pronus,ice+void_porosity_0.50,0.2,0.8,2.939965,0.334716,0.440957,0.416823
Halley_non_pronus,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.548918,0.373426
Halley_non_pronus,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.432605,0.398914
Halley_non_pronus,ice+void_porosity_0.55,0.2,0.8,0.576226,0.194428,0.416203,0.363775
Halley_non_pronus,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.456494,0.43351
Halley_non_pronus,ice+void_porosity_0.55,0.2,0.8,2.939965,0.334716,0.430928,0.417603
Halley_non_pronus,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.548918,0.358986
Halley_non_pronus,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.432605,0.385605
Halley_non_pronus,ice+void_porosity_0.90,0.2,0.8,0.576226,0.194428,0.416203,0.3574
Halley_non_pronus,ice+void_porosity_0.90,0.2,0.8,2.939965,0.255104,0.456494,0.435661
Halley_non_pronus,ice+void_porosity_0.90,0.2,0.8,2.939965,0.334716,0.430928,0.422897
Halley_non_pronus,Organic,0.1,0.9,0.112939,0.148184,0.438742,0.399562
Halley_non_pronus,Organic,0.2,0.8,1.30157,0.148184,0.4584,0.352339
Halley_non_pronus,Organic,0.2,0.8,1.707756,0.148184,0.480387,0.358022
Halley_non_pronus,Organic,0.2,0.8,2.240701,0.148184,0.451434,0.359297
Halley_non_pronus,Titan_tholin,0.1,0.9,0.112939,0.148184,0.497874,0.362216
Halley_non_pronus,Titan_tholin,0.2,0.8,2.939965,0.255104,0.406476,0.420447
Halley_non_pronus,Titan_tholin,0.2,0.8,2.939965,0.334716,0.408438,0.402539
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,0.194428,2.939965,0.451478,0.488398
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,0.255104,2.939965,0.465332,0.488104
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,0.334716,2.939965,0.415392,0.484323
Halley_porous,Halley+ice_0.70_volume,0.1,0.9,0.576226,2.939965,0.569709,0.509234
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,1.30157,2.939965,0.432013,0.490641
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,1.707756,2.939965,0.447391,0.490753
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,2.240701,2.939965,0.414556,0.490503
Halley_porous,Halley+ice_0.70_volume,0.2,0.8,2.939965,0.255104,0.425114,0.377779
Halley_porous,Halley+ice_0.70_volume,0.1,0.9,2.939965,2.939965,0.517967,0.514196
Halley_porous,Halley+ice_0.80_volume,0.1,0.9,2.939965,0.148184,0.460288,0.351457
Halley_porous,Halley+ice_0.90_volume,0.1,0.9,2.939965,0.148184,0.473134,0.365244
Halley_porous,Halley+ice_0.90_volume,0.2,0.8,2.939965,0.194428,0.401341,0.362351
Halley_porous,Ice,0.2,0.8,2.939965,0.194428,0.403925,0.373962
Halley_porous,Ice_tholin,0.1,0.9,0.112939,0.148184,0.490189,0.374414
Halley_porous,Ice_tholin,0.2,0.8,2.939965,0.255104,0.435183,0.36188
Halley_porous,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.575889,0.351129
Halley_porous,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.469065,0.374615
Halley_porous,ice+void_porosity_0.40,0.1,0.9,2.939965,0.148184,0.413583,0.398854
Halley_porous,ice+void_porosity_0.40,0.2,0.8,2.939965,0.255104,0.484332,0.364233
Halley_porous,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.471552,0.371602
Halley_porous,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.415464,0.396159
Halley_porous,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.473428,0.370709
Halley_porous,ice+void_porosity_0.50,0.2,0.8,2.939965,0.334716,0.466628,0.353769
Halley_porous,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.574808,0.362927
Halley_porous,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.467409,0.386026
Halley_porous,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.41201,0.409561
Halley_porous,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.483826,0.37629
Halley_porous,ice+void_porosity_0.55,0.2,0.8,2.939965,0.334716,0.455231,0.354702
Halley_porous,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.467409,0.372269
Halley_porous,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.41201,0.397108
Halley_porous,ice+void_porosity_0.90,0.2,0.8,2.939965,0.255104,0.483826,0.378783
Halley_porous,ice+void_porosity_0.90,0.2,0.8,2.939965,0.334716,0.455231,0.360896
Halley_porous,Organic,0.1,0.9,0.112939,0.148184,0.458739,0.390425
Halley_porous,Organic,0.1,0.9,0.756051,0.148184,0.546548,0.359493
Halley_porous,Organic,0.2,0.8,2.939965,0.255104,0.403003,0.357545
Halley_porous,Silicate,0.2,0.8,2.939965,0.255104,0.403003,0.36138
Halley_porous,Titan_tholin,0.1,0.9,0.112939,0.148184,0.520881,0.352008
Halley_porous,Titan_tholin,0.1,0.9,0.576226,0.148184,0.424783,0.374745
Halley_porous,Titan_tholin,0.2,0.8,2.939965,0.255104,0.427115,0.361073
Halley+ice_0.70_volume,Ice_tholin,0.1,0.9,0.112939,0.148184,0.477541,0.368271
Halley+ice_0.70_volume,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.445348,0.359569
Halley+ice_0.70_volume,ice+void_porosity_0.40,0.1,0.9,2.939965,0.148184,0.415444,0.377077
Halley+ice_0.70_volume,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.447693,0.356532
Halley+ice_0.70_volume,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.417213,0.374351
Halley+ice_0.70_volume,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.559729,0.356486
Halley+ice_0.70_volume,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.443616,0.370726
Halley+ice_0.70_volume,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.413976,0.387445
Halley+ice_0.70_volume,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.443616,0.356969
Halley+ice_0.70_volume,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.413976,0.374993
Halley+ice_0.70_volume,Organic,0.1,0.9,0.112939,0.148184,0.4471,0.384523
Halley+ice_0.70_volume,Organic,0.2,0.8,1.30157,0.148184,0.463527,0.352408
Halley+ice_0.70_volume,Organic,0.2,0.8,1.707756,0.148184,0.498644,0.355873
Halley+ice_0.70_volume,Organic,0.2,0.8,2.240701,0.148184,0.463053,0.355132
Halley+ice_0.70_volume,Titan_tholin,0.1,0.9,0.576226,0.148184,0.403567,0.360145
Halley+ice_0.80_volume,Halley+ice_0.90_volume,0.1,0.9,2.939965,0.148184,0.474472,0.371587
Halley+ice_0.80_volume,Halley+ice_0.90_volume,0.2,0.8,2.939965,0.194428,0.406762,0.377525
Halley+ice_0.80_volume,Ice,0.2,0.8,2.939965,0.194428,0.409206,0.388525
Halley+ice_0.80_volume,Ice,0.2,0.8,2.939965,0.255104,0.460119,0.35721
Halley+ice_0.80_volume,Ice_tholin,0.1,0.9,0.112939,0.148184,0.480651,0.379938
Halley+ice_0.80_volume,Ice_tholin,0.2,0.8,2.939965,0.255104,0.438797,0.377429
Halley+ice_0.80_volume,Ice_tholin,0.2,0.8,2.939965,0.334716,0.438456,0.351738
Halley+ice_0.80_volume,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.56459,0.357043
Halley+ice_0.80_volume,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.449897,0.376422
Halley+ice_0.80_volume,ice+void_porosity_0.40,0.1,0.9,2.939965,0.148184,0.417579,0.403781
Halley+ice_0.80_volume,ice+void_porosity_0.40,0.2,0.8,2.939965,0.255104,0.485258,0.379577
Halley+ice_0.80_volume,ice+void_porosity_0.40,0.2,0.8,2.939965,0.334716,0.464782,0.36691
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.567614,0.35382
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.45227,0.373449
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.419377,0.401145
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.474952,0.385775
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.334716,0.468556,0.370615
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.563434,0.368829
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.448179,0.387716
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.416099,0.414354
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.194428,0.401564,0.405095
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.484783,0.391121
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.334716,0.457792,0.371489
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.563434,0.35424
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.448179,0.374136
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.416099,0.402145
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.194428,0.401564,0.399923
